timeJ,axJ,ayJ,azJ,aTJ
1.765,-1.2312,1.9971,2.6714,3.555
1.77,-1.6139,1.6638,2.3455,3.298
1.785,-1.8762,1.2844,1.7287,2.856
1.787,-1.9111,0.9784,1.2086,2.464
1.788,-1.4427,0.5777,1.0057,1.851
1.805,-1.3055,0.3132,0.8272,1.577
1.806,-1.6902,0.3544,0.5485,1.812
1.807,-1.753,0.3297,0.1511,1.79
1.808,-1.6754,0.439,-0.5209,1.809
1.819,-3.0579,0.3164,-1.0397,3.245
1.82,-2.4182,0.5217,-1.5405,2.914
1.821,-2.2833,0.6635,-1.7863,2.974
1.824,-1.9872,0.9862,-2.0433,3.016
1.83,-1.7692,1.6412,-2.6191,3.561
1.833,-1.1202,1.7447,-2.2645,3.07
1.838,-0.4261,1.4854,-1.545,2.185
1.843,-0.1555,0.9492,-0.7817,1.239
1.848,-0.1989,0.2074,-0.2044,0.353
1.854,-0.1185,-0.4605,0.297,0.561
1.86,0.4597,-0.7379,0.6189,1.067
1.864,1.0023,-0.8595,0.9042,1.6
1.866,1.2927,-0.9428,1.2522,2.032
1.871,1.1493,-0.9298,1.4282,2.056
1.877,0.8783,-0.9329,1.6235,2.068
1.882,0.6346,-0.8695,1.7666,2.069
1.886,0.3516,-0.8123,1.7414,1.953
1.905,0.029,-0.7386,1.4426,1.621
1.906,-0.1119,-0.6486,1.0139,1.209
1.907,-0.1042,-0.5587,0.5348,0.78
1.93,-0.0136,-0.4846,0.1302,0.502
1.93,0.1686,-0.4647,-0.2197,0.541
1.931,0.4041,-0.4671,-0.4422,0.76
1.931,0.4749,-0.4532,-0.4413,0.791
1.931,0.502,-0.4073,-0.2119,0.68
1.933,0.5726,-0.3439,0.1763,0.691
1.934,0.6306,-0.3727,0.6617,0.987
1.941,0.6286,-0.5527,1.0511,1.344
1.945,0.756,-0.7495,1.1658,1.579
1.949,0.7691,-0.9438,1.1179,1.653
1.954,0.7098,-1.11,0.9654,1.633
1.96,0.8569,-1.2247,0.7324,1.665
1.964,1.1677,-1.3292,0.539,1.849
1.968,1.41,-1.4609,0.485,2.087
1.973,1.543,-1.5401,0.4485,2.226
1.981,1.5822,-1.5391,0.2644,2.223
1.984,1.5533,-1.4038,0.112,2.097
1.988,1.5704,-1.231,0.089,1.997
1.995,1.5444,-1.0875,0.0775,1.89
1.998,1.4766,-0.9572,0.1037,1.763
2.003,1.3329,-0.8328,0.0929,1.574
2.007,1.2468,-0.6377,0.2242,1.418
2.014,1.1418,-0.3779,0.3082,1.242
2.019,1.0285,-0.1579,0.3616,1.102
2.021,0.903,-0.0249,0.3724,0.977
2.026,0.8263,0.0197,0.2544,0.865
2.031,0.7494,0.0057,0.1415,0.763
2.036,0.625,-0.0949,0.084,0.638
2.042,0.5337,-0.3106,0.1272,0.63
2.046,0.6133,-0.4595,0.1871,0.789
2.05,0.6881,-0.4885,0.2185,0.872
2.055,0.687,-0.4127,0.2118,0.829
2.06,0.6676,-0.3133,0.2506,0.779
2.066,0.6135,-0.2055,0.1868,0.673
2.071,0.5176,-0.0845,0.0849,0.531
2.075,0.4307,-0.0107,0.0119,0.431
2.08,0.4101,0.0377,-0.0825,0.42
2.084,0.468,0.0201,-0.1505,0.492
2.089,0.4589,-0.0154,-0.1993,0.501
2.094,0.4112,0.0293,-0.076,0.419
2.098,0.4849,0.049,-0.0222,0.488
2.103,0.5627,0.01,0.0506,0.565
2.109,0.5942,0.0008,0.042,0.596
2.113,0.5536,0.0307,-0.0408,0.556
2.118,0.4966,0.1162,-0.1189,0.524
2.123,0.393,0.2524,-0.2209,0.517
2.128,0.2793,0.3677,-0.3279,0.566
2.133,0.1986,0.4554,-0.4684,0.683
2.137,0.0867,0.4989,-0.6138,0.796
2.142,-0.0948,0.4509,-0.7712,0.898
2.148,0.2471,0.3839,-0.9286,1.035
2.152,0.2778,0.4778,-0.9712,1.117
2.157,0.128,0.4436,-1.033,1.131
2.162,-0.0371,0.3273,-0.9298,0.986
2.167,-0.1397,0.1625,-0.7454,0.776
2.171,-0.1834,0.0158,-0.48,0.514
2.177,-0.1835,-0.1635,-0.2195,0.329
2.181,-0.1483,-0.4455,0.0503,0.472
2.186,-0.0723,-0.6465,0.3463,0.737
2.192,0.0379,-0.7605,0.5392,0.933
2.197,0.0726,-0.7351,0.622,0.966
2.2,0.0867,-0.7049,0.688,0.989
2.205,0.0753,-0.6506,0.6942,0.954
2.21,0.103,-0.5767,0.6359,0.865
2.216,0.101,-0.5113,0.4677,0.7
2.22,0.158,-0.4419,0.2735,0.543
2.225,0.167,-0.411,0.0914,0.453
2.229,0.143,-0.3585,-0.088,0.396
2.234,0.1349,-0.3226,-0.2169,0.412
2.239,0.122,-0.3082,-0.2477,0.414
2.244,0.1668,-0.3153,-0.2761,0.451
2.249,0.2529,-0.3106,-0.2996,0.5
2.254,0.2836,-0.3137,-0.3089,0.524
2.258,0.2731,-0.3603,-0.3158,0.552
2.264,0.2426,-0.3763,-0.3395,0.562
2.269,0.2363,-0.457,-0.2795,0.586
2.274,0.2876,-0.4518,-0.1455,0.555
2.278,0.3081,-0.4138,-0.0427,0.518
2.283,0.2714,-0.4289,-0.0118,0.508
2.287,0.1868,-0.4398,-0.0097,0.478
2.294,0.0966,-0.4365,-0.0171,0.447
2.297,0.0123,-0.4259,0.009,0.426
2.302,0.0005,-0.3626,-0.0246,0.363
2.307,0.0067,-0.2967,-0.0176,0.297
2.312,0.0218,-0.262,0.0038,0.263
2.318,0.0341,-0.2443,0.061,0.254
2.322,0.0106,-0.2274,0.118,0.256
2.327,-0.0176,-0.2209,0.0818,0.236
2.331,-0.0407,-0.1965,0.0552,0.208
2.336,-0.061,-0.1756,0.0118,0.186
2.342,-0.0573,-0.1698,-0.0698,0.192
2.346,-0.0627,-0.1453,-0.1274,0.203
2.351,-0.0967,-0.0849,-0.1658,0.21
2.356,-0.1188,-0.0456,-0.2018,0.239
2.361,-0.1367,-0.0174,-0.2305,0.269
2.365,-0.1167,0.0069,-0.2519,0.278
2.37,-0.0942,0.0276,-0.2446,0.264
