timeE,axE,ayE,azE,aTE
2.487,1.1248,0.3591,-1.0988,1.613
2.491,1.1808,0.3307,-1.0855,1.638
2.496,1.1847,0.3509,-1.0407,1.615
2.501,1.1702,0.3696,-1.0074,1.588
2.507,1.1418,0.3699,-0.9736,1.545
2.51,1.1159,0.378,-0.9393,1.507
2.516,1.0422,0.3799,-0.9571,1.465
2.52,0.9304,0.3613,-0.9123,1.352
2.525,0.8591,0.4014,-0.841,1.267
2.529,0.8352,0.438,-0.8123,1.245
2.538,0.7623,0.4593,-0.848,1.229
2.549,0.6475,0.4996,-0.9027,1.218
2.552,0.5265,0.5741,-1.0151,1.279
2.552,0.4252,0.6281,-1.0801,1.32
2.565,0.3291,0.6744,-1.0887,1.322
2.565,0.1737,0.6872,-1.0459,1.263
2.566,0.0374,0.6596,-0.9662,1.17
2.568,-0.025,0.6109,-0.8306,1.031
2.573,-0.0593,0.5675,-0.6965,0.9
2.577,-0.0728,0.5271,-0.4827,0.718
2.583,-0.1063,0.4484,-0.1604,0.488
2.588,-0.1119,0.3285,0.2397,0.422
2.593,-0.0664,0.133,0.6487,0.666
2.599,0.0725,-0.0841,0.9977,1.004
2.602,0.1944,-0.2538,1.182,1.224
2.609,0.2588,-0.4053,1.2784,1.366
2.613,0.3161,-0.5001,1.2534,1.386
2.617,0.3427,-0.5312,1.1813,1.34
2.623,0.363,-0.5486,1.0907,1.274
2.626,0.294,-0.5549,1.0055,1.185
2.643,0.2318,-0.5093,0.9232,1.08
2.644,0.1576,-0.4597,0.8294,0.961
2.644,0.1362,-0.4132,0.791,0.903
2.669,0.0933,-0.3672,0.698,0.794
2.67,0.0385,-0.3146,0.6196,0.696
2.671,0.0364,-0.2722,0.5106,0.58
2.671,-0.0131,-0.2541,0.4306,0.5
2.671,-0.1766,-0.2894,0.3748,0.505
2.672,-0.2083,-0.2752,0.3506,0.492
2.675,-0.192,-0.2143,0.2792,0.401
2.679,-0.2546,-0.2095,0.1988,0.385
2.687,-0.2214,-0.1914,0.1931,0.351
2.69,-0.214,-0.2272,0.2381,0.393
2.695,-0.1921,-0.2787,0.2361,0.413
2.7,-0.0985,-0.3246,0.2014,0.394
2.704,-0.0624,-0.3503,0.0838,0.366
2.708,-0.0785,-0.3416,-0.1046,0.366
2.713,-0.1202,-0.3147,-0.266,0.429
2.719,-0.1088,-0.262,-0.4103,0.499
2.723,-0.0945,-0.2143,-0.5808,0.626
2.728,-0.1751,-0.1567,-0.6842,0.723
2.742,-0.2789,-0.0985,-0.7522,0.808
2.743,-0.4346,-0.1372,-0.713,0.846
2.744,-0.521,-0.1819,-0.6196,0.83
2.769,-0.5151,-0.1849,-0.5887,0.804
2.77,-0.4118,-0.1102,-0.5274,0.678
2.771,-0.3618,-0.0082,-0.4427,0.572
2.772,-0.3911,0.0874,-0.3776,0.551
2.772,-0.4689,0.1835,-0.3081,0.59
2.773,-0.5758,0.2202,-0.2603,0.669
