time,ax,ay,az,aT
2.307,-0.9702,-0.2606,2.9358,3.103
2.318,0.6373,0.2037,-3.885,3.942
2.319,0.203,-0.1648,1.5084,1.531
2.322,0.8247,-2.4915,19.9556,20.127
2.33,1.1194,-0.8892,6.9751,7.12
2.333,0.4142,-0.5396,6.0802,6.118
2.336,-0.0709,-0.5267,6.6644,6.686
2.342,-0.0208,-0.9561,8.2252,8.281
2.346,1.5032,-1.5004,8.839,9.091
2.351,2.3751,-2.0335,8.6144,9.164
2.356,2.5494,-2.4515,7.6638,8.441
2.361,2.243,-2.6405,6.1537,7.062
2.366,-0.1116,-2.2857,4.9351,5.44
2.371,0.2586,-2.1628,3.0574,3.754
2.375,0.8311,-2.1527,1.8619,2.965
2.38,1.1697,-2.2283,0.9355,2.685
2.385,1.2334,-2.3379,0.0676,2.644
2.39,1.0113,-2.3362,-1.0133,2.74
2.395,1.0529,-2.3013,-2.3327,3.442
2.401,1.3513,-2.4172,-1.4863,3.143
2.405,2.5865,-2.6171,-2.6095,4.511
2.409,3.3997,-2.8557,-3.1395,5.438
2.414,3.3414,-2.8155,-1.7856,4.72
2.418,3.116,-2.4924,-0.8595,4.082
2.426,2.6604,-2.0309,-0.2858,3.359
2.428,1.9891,-1.4713,0.3009,2.492
2.433,1.1399,-0.8602,1.158,1.839
2.438,0.1772,-0.2749,2.1183,2.143
2.443,-0.7338,0.3111,2.79,2.902
2.448,-1.4516,0.861,3.1469,3.571
2.453,-1.9514,1.3804,3.3643,4.127
2.457,-2.2009,1.7777,3.5359,4.528
2.463,-2.2972,2.0015,3.6173,4.729
2.467,-2.3275,2.0786,3.6697,4.817
2.473,-2.2395,1.9637,3.7654,4.801
2.478,-2.0505,1.6981,3.9029,4.724
2.483,-1.8307,1.4966,3.9747,4.625
2.486,-1.5527,1.1708,3.7793,4.25
2.491,-1.1416,0.7535,3.4847,3.744
2.496,-0.7539,0.2957,3.2339,3.334
2.501,0.2768,-0.3465,3.4894,3.517
2.506,1.1172,-0.677,3.7671,3.987
2.51,1.4358,-0.5961,3.3797,3.72
2.516,1.9088,-0.3283,3.344,3.864
2.52,2.3715,-0.1304,3.4666,4.202
2.525,2.7311,-0.0814,3.6163,4.532
2.53,2.9999,-0.2054,3.8101,4.854
2.535,3.0584,-0.3213,3.7161,4.824
2.539,2.9083,-0.1621,3.3121,4.411
2.544,2.5251,-0.2476,2.8456,3.812
2.549,2.167,0.1978,2.4894,3.306
2.554,1.508,0.4083,1.9069,2.465
2.559,0.7067,0.7838,1.4199,1.769
2.564,0.0114,1.0709,1.103,1.537
2.569,-0.5075,1.4661,0.9391,1.814
2.574,-0.7807,1.6742,1.1133,2.157
2.578,-0.6809,1.5513,1.7469,2.433
2.583,-0.3153,1.1437,2.6268,2.882
2.588,0.45,2.4682,2.872,3.814
2.594,1.0085,3.7124,2.449,4.56
2.598,1.0763,2.5968,2.7471,3.93
2.603,1.2317,2.8754,3.1328,4.427
2.608,1.3794,2.7041,2.9442,4.229
2.613,1.3986,2.4708,2.5079,3.788
2.617,1.4425,2.333,2.0685,3.435
2.623,1.5109,2.2837,1.4785,3.112
2.627,1.3833,2.06,0.643,2.563
2.633,0.7262,1.1045,-0.2801,1.351
2.637,0.3776,0.9515,-1.3005,1.655
2.642,0.8468,1.6338,-2.3131,2.956
2.646,1.3867,1.8804,-3.1943,3.958
2.651,1.6856,2.153,-3.5915,4.514
2.656,1.8448,2.5642,-3.2815,4.555
2.661,1.766,2.6332,-2.8777,4.282
2.666,1.2946,2.3547,-2.9749,4.009
2.671,0.9724,2.4188,-3.3149,4.217
2.676,1.1086,2.4814,-2.9975,4.046
2.68,1.2074,2.4766,-2.7099,3.865
2.685,1.1865,2.4592,-2.4524,3.67
2.69,1.1146,2.2268,-1.9494,3.162
2.695,1.0753,2.0441,-1.3196,2.66
2.699,1.1543,1.925,-0.6479,2.336
2.706,1.0833,1.9667,-0.0431,2.246
2.71,0.8035,2.2211,0.3813,2.393
2.714,0.2082,2.6717,0.4922,2.725
2.719,1.3094,2.6053,3.1827,4.316
2.724,0.3379,3.0536,2.3783,3.885
2.729,-0.5273,3.3913,1.5857,3.781
2.734,-0.6111,3.4382,2.0014,4.025
2.738,-0.9236,3.5897,1.9517,4.189
2.744,-0.7152,3.4613,2.3596,4.25
